💓AKTV🚀📶,#genre#
TVBS(340),https://s1.m16tv.cfd/taiwan/tvbs/AKTV.m3u8
TVBS新聞(346),https://s1.m16tv.cfd/tvbs/tvbs/AKTV.m3u8
TVBS新聞(389),https://s2.m16tv.cfd/tvbs/tvbs/AKTV.m3u8
myTV SUPER 18台(312),https://s1.m16tv.cfd/aktv/mytvsuper18/AKTV.m3u8
myTV SUPER 18台(354),https://s2.m16tv.cfd/aktv/mytvsuper18/AKTV.m3u8
tvN(358),https://s2.m16tv.cfd/aktv/tvn/AKTV.m3u8
tvN(316),https://s1.m16tv.cfd/aktv/tvn/AKTV.m3u8
中天新闻台(390),https://s2.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
中天新闻台(347),https://s1.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
天映电影(328),https://s1.m16tv.cfd/aktv2/CH-3/AKTV.m3u8
天映电影(371),https://s2.m16tv.cfd/aktv2/CH-3/AKTV.m3u8
好萊塢電影台(372),https://s2.m16tv.cfd/aktv2/CH-4/AKTV.m3u8
好萊塢電影台(329),https://s1.m16tv.cfd/aktv2/CH-4/AKTV.m3u8
影迷數位紀實台(341),https://s1.m16tv.cfd/taiwan/CH-2/AKTV.m3u8
影迷數位紀實台(384),https://s2.m16tv.cfd/taiwan/CH-2/AKTV.m3u8
日テレNEWS LIVE(337),https://s1.m16tv.cfd/aktvjp/ntv/AKTV.m3u8
日テレNEWS LIVE(380),https://s2.m16tv.cfd/aktvjp/ntv/AKTV.m3u8
明珠剧集台(北美)(317),https://s1.m16tv.cfd/aktv/CH-19/AKTV.m3u8
明珠剧集台(北美)(359),https://s2.m16tv.cfd/aktv/CH-19/AKTV.m3u8
明珠台(360),https://s2.m16tv.cfd/aktv/CH-2/AKTV.m3u8
明珠台(318),https://s1.m16tv.cfd/aktv/CH-2/AKTV.m3u8
朝鲜恩情台(335),https://s1.m16tv.cfd/aktv3/CH-0/AKTV.m3u8
朝鲜恩情台(378),https://s2.m16tv.cfd/aktv3/CH-0/AKTV.m3u8
東森新聞(348),https://s1.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8
東森新聞(391),https://s2.m16tv.cfd/zhongtian/CH-1/AKTV.m3u8
東森洋片(330),https://s1.m16tv.cfd/aktv2/CH-2/AKTV.m3u8
東森洋片(373),https://s2.m16tv.cfd/aktv2/CH-2/AKTV.m3u8
東森電影(331),https://s1.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
東森電影(374),https://s2.m16tv.cfd/aktv2/CH-1/AKTV.m3u8
民視(385),https://s2.m16tv.cfd/taiwan/CH-1/AKTV.m3u8
民視(342),https://s1.m16tv.cfd/taiwan/CH-1/AKTV.m3u8
民視第一台(343),https://s1.m16tv.cfd/taiwan/CH-0/AKTV.m3u8
民視第一台(386),https://s2.m16tv.cfd/taiwan/CH-0/AKTV.m3u8
無線新聞台(361),https://s2.m16tv.cfd/aktv/CH-1/AKTV.m3u8
緯來體育台(332),https://s1.m16tv.cfd/aktv2/CH-0/AKTV.m3u8
緯來體育台(375),https://s2.m16tv.cfd/aktv2/CH-0/AKTV.m3u8
美亞電影台(HK)(319),https://s1.m16tv.cfd/aktv/hk/AKTV.m3u8
美亞電影台(HK)(362),https://s2.m16tv.cfd/aktv/hk/AKTV.m3u8
翡翠剧集台(北美)(363),https://s2.m16tv.cfd/aktv/CH-18/AKTV.m3u8
翡翠剧集台(北美)(320),https://s1.m16tv.cfd/aktv/CH-18/AKTV.m3u8
翡翠台(321),https://s1.m16tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠台(364),https://s2.m16tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠综合台(北美)(365),https://s2.m16tv.cfd/aktv/CH-17/AKTV.m3u8
翡翠综合台(北美)(322),https://s1.m16tv.cfd/aktv/CH-17/AKTV.m3u8
鳳凰衛視中文台(366),https://s2.m16tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視中文台(323),https://s1.m16tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台(324),https://s1.m16tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視資訊台(367),https://s2.m16tv.cfd/aktv/CH-4/AKTV.m3u8
鳳凰衛視香港台(325),https://s1.m16tv.cfd/aktv/CH-5/AKTV.m3u8
鳳凰衛視香港台(368),https://s2.m16tv.cfd/aktv/CH-5/AKTV.m3u8
龍華日韓台(344),https://s1.m16tv.cfd/taiwan/CH-5/AKTV.m3u8
龍華日韓台(387),https://s2.m16tv.cfd/taiwan/CH-5/AKTV.m3u8
💓专享卫视,#genre#
三沙卫视(228),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887452.m3u8
东南卫视(202),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873473.m3u8
东南卫视(282),http://111.43.126.240:9003/hls/47/index.m3u8
东南卫视x(246),http://8.138.7.223/tv/migu.php?id=dnws
东方卫视(231),http://8.138.7.223/tv/migu.php?id=dfws
东方卫视(305),http://omnix.cn:4000/udp/225.1.8.45:8032
东方卫视(276),http://111.43.126.240:9003/hls/39/index.m3u8
东方卫视(198),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873462.m3u8
云南卫视(294),http://111.43.126.240:9003/hls/60/index.m3u8
云南卫视(269),http://8.138.7.223/tv/yntv.m3u8
云南卫视(251),http://8.138.7.223/tv/migu.php?id=ynws
云南卫视(220),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887453.m3u8
兵团卫视(300),http://111.43.126.240:9003/hls/66/index.m3u8
兵团卫视(268),http://8.138.7.223/tv/btws.m3u8
兵团卫视(265),http://8.138.7.223/tv/btws.m3u8
兵团卫视(229),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887456.m3u8
内蒙古卫视(235),http://8.138.7.223/tv/migu.php?id=nmws
内蒙古卫视(297),http://111.43.126.240:9003/hls/63/index.m3u8
内蒙古卫视(258),http://39.137.75.234/000000001000/1000000002000014080/index.m3u8?channel-id=ystenlive&Contentid=1000000002000014080&livemode=1&stbId=no
内蒙古卫视(222),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887427.m3u8
内蒙古卫视(270),http://8.138.7.223/tv/nmgws.m3u8
北京卫视(199),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870776.m3u8
北京卫视(278),http://111.43.126.240:9003/hls/41/index.m3u8
厦门卫视(261),http://39.137.75.234/000000001000/1000000005000266006/index.m3u8?channel-id=ystenlive&Contentid=1000000005000266006&livemode=1&stbId=no
厦门卫视(230),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887454.m3u8
吉林卫视(233),http://8.138.7.223/tv/migu.php?id=jlws
吉林卫视(281),http://111.43.126.240:9003/hls/45/index.m3u8
吉林卫视(214),http://home.kuaidi521.com:35455/bptv/10000100000000050000000004972569.m3u8
四川卫视(284),http://111.43.126.240:9003/hls/50/index.m3u8
四川卫视(215),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887274.m3u8
大湾区卫视(249),http://8.138.7.223/tv/migu.php?id=dwqws
天津卫视(205),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873466.m3u8
宁夏卫视(236),http://8.138.7.223/tv/migu.php?id=nxws
宁夏卫视(301),http://111.43.126.240:9003/hls/67/index.m3u8
宁夏卫视(224),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887433.m3u8
安徽卫视(204),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873469.m3u8
安徽卫视(279),http://111.43.126.240:9003/hls/43/index.m3u8
山东卫视(203),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873467.m3u8
山东卫视(240),http://8.138.7.223/tv/migu.php?id=sdws
山西卫视(295),http://111.43.126.240:9003/hls/61/index.m3u8
山西卫视(259),http://39.137.75.234/000000001000/1000000002000021220/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=no
山西卫视(219),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887413.m3u8
广东卫视(248),http://8.138.7.223/tv/migu.php?id=gdws
广东卫视(200),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873459.m3u8
广西卫视(296),http://111.43.126.240:9003/hls/62/index.m3u8
广西卫视(250),http://8.138.7.223/tv/migu.php?id=gxws
广西卫视(218),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887394.m3u8
延边卫视(299),http://111.43.126.240:9003/hls/65/index.m3u8
新疆卫视(226),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887448.m3u8
新疆卫视(298),http://111.43.126.240:9003/hls/64/index.m3u8
新疆卫视(253),http://8.138.7.223/tv/migu.php?id=xjws
江苏卫视(197),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873461.m3u8
江苏卫视(275),http://111.43.126.240:9003/hls/38/index.m3u8
江苏卫视(245),http://8.138.7.223/tv/migu.php?id=jsws
江西卫视(244),http://8.138.7.223/tv/migu.php?id=jxws
江西卫视(208),http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796511.m3u8
江西卫视(283),http://111.43.126.240:9003/hls/49/index.m3u8
河北卫视(290),http://111.43.126.240:9003/hls/56/index.m3u8
河北卫视(210),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887382.m3u8
河北卫视(266),http://8.138.7.223/tv/hebtv.m3u8
河北卫视(271),http://8.138.7.223/tv/hebtv.m3u8
河北卫视(209),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873460.m3u8
河南卫视(217),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887270.m3u8
河南卫视(241),http://8.138.7.223/tv/migu.php?id=hnws
河南卫视(280),http://111.43.126.240:9003/hls/44/index.m3u8
浙江卫视(272),https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视(273),http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视(277),http://111.43.126.240:9003/hls/40/index.m3u8
浙江卫视(267),http://8.138.7.223/tv/zjws.m3u8
浙江卫视(264),http://8.138.7.223/tv/zjws.m3u8
浙江卫视(196),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873464.m3u8
海南卫视(287),http://111.43.126.240:9003/hls/53/index.m3u8
海南卫视(255),http://8.138.7.223/tv/migu.php?id=hinws
海南卫视(216),http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796877.m3u8
海峡卫视(247),http://8.138.7.223/tv/migu.php?id=hxws
深圳卫视(260),http://39.137.75.234/000000001000/1000000005000265028/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265028&livemode=1&stbId=no
深圳卫视(285),http://111.43.126.240:9003/hls/51/index.m3u8
深圳卫视(201),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873474.m3u8
湖北卫视(242),http://8.138.7.223/tv/migu.php?id=hubws
湖北卫视(306),http://www.745612.xyz:7788/rtp/235.254.198.72:1564
湖北卫视(288),http://111.43.126.240:9003/hls/54/index.m3u8
湖北卫视(206),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873465.m3u8
湖南卫视(304),http://222.134.245.16:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视(256),http://39.137.75.234/000000001000/1000000001000009115/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=no
湖南卫视(274),http://111.43.126.240:9003/hls/37/index.m3u8
湖南卫视(243),http://8.138.7.223/tv/migu.php?id=hunws
湖南卫视(195),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873458.m3u8
甘肃卫视(257),http://39.137.75.234/000000001000/1000000002000017827/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=no
甘肃卫视(237),http://8.138.7.223/tv/migu.php?id=gsws
甘肃卫视(303),http://111.43.126.240:9003/hls/70/index.m3u8
甘肃卫视(223),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887450.m3u8
西藏卫视(254),http://8.138.7.223/tv/migu.php?id=xzws
西藏卫视(292),http://111.43.126.240:9003/hls/58/index.m3u8
西藏卫视(227),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887434.m3u8
贵州卫视(252),http://8.138.7.223/tv/migu.php?id=gzws
贵州卫视(213),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873471.m3u8
贵州卫视(286),http://111.43.126.240:9003/hls/52/index.m3u8
辽宁卫视(291),http://111.43.126.240:9003/hls/57/index.m3u8
辽宁卫视(207),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873468.m3u8
辽宁卫视(234),http://8.138.7.223/tv/migu.php?id=lnws
重庆卫视(262),http://39.137.75.234/000000001000/1000000002000018937/index.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=no
重庆卫视(212),http://home.kuaidi521.com:35455/bptv/10000100000000050000000004796458.m3u8
重庆卫视(232),http://8.138.7.223/tv/migu.php?id=cqws
重庆卫视(289),http://111.43.126.240:9003/hls/55/index.m3u8
陕西卫视(239),http://8.138.7.223/tv/migu.php?id=sxws
陕西卫视(221),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887404.m3u8
陕西卫视(302),http://111.43.126.240:9003/hls/68/index.m3u8
青海卫视(293),http://111.43.126.240:9003/hls/59/index.m3u8
青海卫视(263),http://39.137.75.234/000000001000/1000000002000013359/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=no
青海卫视(238),http://8.138.7.223/tv/migu.php?id=qhws
青海卫视(225),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003887430.m3u8
黑龙江卫视(211),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003873470.m3u8
💓专享央视,#genre#
CCTV1(171),http://8.138.7.223/tv/ptbtv.php?id=27
CCTV1(128),http://8.138.7.223/tv/migu.php?id=cctv1
CCTV1(132),http://39.137.75.234/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=no
CCTV1(134),http://www.cdnstv.com:6398/hls/1/index.m3u8
CCTV1(149),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003864351.m3u8
CCTV1(160),http://112.46.105.20:8009/hls/501/index.m3u8
CCTV1(175),http://39.164.180.36:19901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV10(158),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870753.m3u8
CCTV10(185),http://39.164.180.36:19901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10(142),http://www.cdnstv.com:6398/hls/10/index.m3u8
CCTV10(169),http://112.46.105.20:8009/hls/506/index.m3u8
CCTV11(186),http://39.164.180.36:19901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11(143),http://www.cdnstv.com:6398/hls/11/index.m3u8
CCTV12(144),http://www.cdnstv.com:6398/hls/12/index.m3u8
CCTV12(187),http://39.164.180.36:19901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12(170),http://112.46.105.20:8009/hls/507/index.m3u8
CCTV12(159),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870755.m3u8
CCTV13(145),http://www.cdnstv.com:6398/hls/13/index.m3u8
CCTV13(188),http://39.164.180.36:19901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13(173),http://8.138.7.223/tv/ptbtv.php?id=28
CCTV14(146),http://www.cdnstv.com:6398/hls/14/index.m3u8
CCTV14(189),http://39.164.180.36:19901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15(147),http://www.cdnstv.com:6398/hls/15/index.m3u8
CCTV15(133),http://39.137.75.234/000000001000/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=no
CCTV17(148),http://www.cdnstv.com:6398/hls/17/index.m3u8
CCTV2(161),http://112.46.105.20:8009/hls/502/index.m3u8
CCTV2(135),http://www.cdnstv.com:6398/hls/2/index.m3u8
CCTV2(176),http://39.164.180.36:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2(174),http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=ed5ace&tk=6949f8ce7202
CCTV2(150),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870745.m3u8
CCTV3(177),http://39.164.180.36:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3(162),http://112.46.105.20:8009/hls/3/index.m3u8
CCTV3(151),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870746.m3u8
CCTV4(163),http://112.46.105.20:8009/hls/4/index.m3u8
CCTV4(178),http://39.164.180.36:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4(136),http://www.cdnstv.com:6398/hls/4/index.m3u8
CCTV4(129),http://8.138.7.223/tv/migu.php?id=cctv4
CCTV4(152),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870747.m3u8
CCTV5(153),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870748.m3u8
CCTV5(137),http://www.cdnstv.com:6398/hls/5/index.m3u8
CCTV5(179),http://39.164.180.36:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5(164),http://112.46.105.20:8009/hls/503/index.m3u8
CCTV5(130),http://8.138.7.223/tv/migu.php?id=cctv5
CCTV5+(131),http://8.138.7.223/tv/migu.php?id=cctv5p
CCTV5+(180),http://39.164.180.36:19901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+(154),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870759.m3u8
CCTV6(138),http://www.cdnstv.com:6398/hls/6/index.m3u8
CCTV6(181),http://39.164.180.36:19901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6(165),http://112.46.105.20:8009/hls/6/index.m3u8
CCTV7(155),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870750.m3u8
CCTV7(139),http://www.cdnstv.com:6398/hls/7/index.m3u8
CCTV7(166),http://112.46.105.20:8009/hls/504/index.m3u8
CCTV7(172),http://8.138.7.223/tv/cctv7.m3u8
CCTV7(182),http://39.164.180.36:19901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8(183),http://39.164.180.36:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8(167),http://112.46.105.20:8009/hls/8/index.m3u8
CCTV8(156),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870838.m3u8
CCTV8(140),http://www.cdnstv.com:6398/hls/8/index.m3u8
CCTV9(184),http://39.164.180.36:19901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9(168),http://112.46.105.20:8009/hls/509/index.m3u8
CCTV9(157),http://home.kuaidi521.com:35455/bptv/10000100000000050000000003870752.m3u8
CCTV9(141),http://www.cdnstv.com:6398/hls/9/index.m3u8
CCTV世界地理(194),http://111.61.236.247:9081/hls/62/index.m3u8
CCTV中学生(192),http://8.138.7.223/tv/migu.php?id=zxs
CCTV发现之旅(190),http://8.138.7.223/tv/migu.php?id=fxzl
CCTV老故事(191),http://8.138.7.223/tv/migu.php?id=lgs
CCTV风云足球(193),http://111.61.236.247:9081/hls/58/index.m3u8
💓专享源🅰️,#genre#
🔀97家有喜事(58),https://vip.ffzy-play6.com/20221129/9285_97e3dfc9/index.m3u8
🔀97家有喜事(57),https://ukzy.ukubf4.com/20220407/Ue4rNnif/index.m3u8
🔀九品芝麻官(61),https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_b_B6a0bcfcdbdaac183fa7dcbcd3e11bcaf.mp4
🔀功夫(51),https://ukzy.ukubf4.com/20220407/j3bjFWpb/index.m3u8
🔀唐伯虎点秋香(53),https://ukzy.ukubf4.com/20220407/wnsgZzX9/index.m3u8
🔀国产凌凌漆(52),https://ukzy.ukubf4.com/20220330/CVILs5nr/index.m3u8
🔀复仇者联盟1(22),https://bp-resource.bestv.com.cn/material/8e9fd77cb864f2dd5e70d093a4bba368/2021/0426/video/5fd85575e23f40379d319f455fde9351.m3u8
🔀复仇者联盟2(23),https://bp-resource.bestv.com.cn/material/8e9fd77cb864f2dd5e70d093a4bba368/2020/0722/video/bce6e4ce6a3a4c9989837b58486cc777.m3u8
🔀复仇者联盟3(24),https://bp-resource.bestv.com.cn/material/8e9fd77cb864f2dd5e70d093a4bba368/2022/0117/video/f81c8dd998ee41a9aa4788bdefe9f921.m3u8
🔀复仇者联盟4(25),https://bp-resource.bestv.com.cn/material/8e9fd77cb864f2dd5e70d093a4bba368/2020/0716/video/5012ea0aa0c34d6ba5880236c503df1a.m3u8
🔀审死官(59),https://ukzy.ukubf4.com/20220407/OxgWrcNR/index.m3u8
🔀望夫成龙(60),https://ukzy.ukubf4.com/20220407/jEakalqL/index.m3u8
🐼直播熊猫(16),https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
🔀算死草(62),https://vip.ffzy-play6.com/20221112/6085_3636efbb/index.m3u8
🔀西游降魔篇(50),https://vip.ffzy-play6.com/20221019/206_b74a99b9/index.m3u8
🔀逃学威龙2(54),https://alimov2.a.kwimgs.com/upic/2021/12/28/16/BMjAyMTEyMjgxNjUxMzhfNDAzMDAxOTlfNjM2ODQ1ODYxNzhfMF8z_b_Ba5bdfedb34d432e906dbc401975d5387.mp4
🔀食神(55),https://ukzy.ukubf4.com/20220407/dtaM5NLB/index.m3u8
🔀鹿鼎记2之神龙教(56),https://ukzy.ukubf4.com/20220404/gfSdtuvX/index.m3u8
📹️直播中国(15),https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
▶️(2024)哥斯拉大战金刚2：帝国崛起(29),https://api.heimuer.app/play/6f3edeb2885149e4b30f676e8a94ef3b.m3u8
▶️(2024)异形寄生:起源(31),https://api.heimuer.app/play/3e9be3a5080c46449dbc355c9cb8baec.m3u8
▶️(2024)狄仁杰之天宫蜃楼(32),https://v9.tlkqc.com/wjv9/202408/06/p7712pXCuV81/video/index.m3u8
▶️(2024)绝地战警：生死与共(30),https://v3.tlkqc.com/wjv3/202406/12/gFunRiZvHb75/video/index.m3u8
▶️(2024)阴阳师(28),https://svip.high22-playback.com/20240731/5755_91995ca9/index.m3u8
▶️(2024)鬼舞村：詛咒起源(33),https://v12.tlkqc.com/wjv12/202408/04/UJGTrrEASp84/video/index.m3u8
▶️2012(27),https://m3u8.hmrvideo.com/play/a9f7a721d9eb4c76b74790f719996a29.m3u8
▶️卧虎藏龙(67),https://vip.ffzy-play6.com/20221019/118_1367b8f6/index.m3u8
▶️后天(26),https://m3u8.hmrvideo.com/play/0c8022a5af3d452698ff2f32d2a4a3de.m3u8
▶️哈利波特：死神的聖物Ⅰ(41),https://ikcdn01.ikzybf.com/20221105/DABRajDL/index.m3u8
▶️哈利波特：消失的密室(42),https://v1.fentvoss.com/sdv1/202308/19/7pizD2d5YN2/video/index.m3u8
▶️哈利波特：混血王子的背叛(43),https://v1.fentvoss.com/sdv1/202308/19/jZ4qXuUYMH2/video/index.m3u8
▶️哈利波特：火盃的考驗(44),https://ikcdn01.ikzybf.com/20221210/qYaADoTA/index.m3u8
▶️哈利波特：鳳凰會的密令(45),https://v1.fentvoss.com/sdv1/202308/19/kL6HzXQ7Xi2/video/index.m3u8
▶️哪吒1魔童降世(21),https://vip.ffzy-play7.com/20221111/3098_4ec0b2e9/index.m3u8
▶️我不是药神(46),https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
▶️无间道1(68),https://vip.ffzy-play6.com/20221017/13_ddfc1740/index.m3u8
▶️无间道2(69),https://vip.lzcdn2.com/20220323/300_8be28e1c/index.m3u8
▶️无间道3：终极无间(70),https://vip.ffzy-play2.com/20221127/1567_f1965b4b/index.m3u8
▶️星际穿越(34),https://api.heimuer.app/play/f9b471ddd1ee425bb3c64a24f82561be.m3u8
▶️疯狂的外星人(65),https://vip.ffzy-online2.com/20230607/38938_95adfc88/index.m3u8
▶️疯狂的石头(63),https://vip.ffzy-play2.com/20221021/170_91678c84/index.m3u8
▶️疯狂的赛车(64),https://vip.ffzy-play2.com/20221021/169_37d917eb/index.m3u8
▶️英雄本色1(48),https://vip.ffzy-play7.com/20221115/4617_be0491ea/index.m3u8
▶️英雄本色2(49),https://vip.ffzy-play7.com/20221115/4807_eeca808f/index.m3u8
▶️让子弹飞(47),https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
▶️霸王别姬(66),https://vip.ffzy-play7.com/20221112/3726_f8288d50/index.m3u8
▶️魔戒三部曲：王者再臨(40),https://api.heimuer.app/play/bd885bde48d742068df66e382a8db7a7.m3u8
▶️魔戒二部曲：雙城奇謀(38),https://api.heimuer.app/play/4c017a32d1a7478696e4b78d95774ccc.m3u8
